,tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux
0,00139250626-01,139250626,1,1,3752.0,4.438,31.3318,0.00267395,3.13843,1.1241,0.0287481,65.7255,0.194601,1.0,988.2280000000001,119.204,3.7466,1347.45,0.00189868,0.104707,0.00341183,6.18694,1.79583,2,4.2702,8.606860000000001,7.6734,375.30300000000005,4.68867
1,00139281803-01,139281803,1,1,5818.0,4.42453,30.0046,0.0117272,4.5759,0.6492220000000001,0.0403149,18.9556,0.19204200000000002,1.0397,1252.43,172.62900000000002,4.97579,1348.62,0.0100496,1.9601,0.955717,3.95842,-6.50833,2,1.6484299999999998,8.61389,7.42655,597.34,30.0891
2,00139285666-01,139285666,1,2,5561.91,4.438,0.698056,2.99706e-05,1.30396,0.319271,0.0139042,1.7831099999999998,0.013923900000000001,0.859049,200.875,28.3924,2.47283,1325.47,0.00107539,0.0703411,0.699984,10.505,0.35,81,85.9026,7.67025,4.59272,1927.72,3263.61
4,00139285669-01,139285669,1,1,3260.0,4.438,0.69797,0.000119668,22.1632,17.9022,0.203016,1.28088,0.015406799999999998,1.0,19604.2,1637.01,5.42777,1325.47,0.00499766,2.71388,0.9691719999999999,11.9144,0.34444,81,59.906000000000006,10.4697,3.74261,1158.92,426.31699999999995
5,00139300891-01,139300891,1,2,5380.0,4.42414,0.909372,5.83408e-05,2.01278,2.05091,0.018777000000000002,1.8285799999999999,0.0179642,0.981901,366.69300000000004,50.0413,3.15276,1325.46,0.00179521,0.119273,0.699495,7.09093,0.25694,62,35.9793,8.151769999999999,3.00604,1755.11,2242.52
7,00139370701-01,139370701,1,1,6632.0,4.438,1.12006,6.63985e-05,2.12472,0.360944,0.0128575,1.91393,0.027840499999999997,1.51371,169.743,22.0864,3.5545400000000003,1325.6,0.00164973,0.0966018,0.716097,6.463430000000001,0.7416699999999999,50,27.4904,8.3912,2.93959,2157.84,5123.85
8,00140609384-01,140609384,1,1,5925.5,4.26541,21.6031,0.00404237,6.46235,0.8743989999999999,0.0467383,16.7917,0.15573299999999998,1.26653,1767.61,190.546,4.44803,1327.8,0.00472535,1.5790899999999999,0.9442139999999999,2.84735,-0.36806,3,3.49859,13.3131,11.6316,745.65,73.0567
9,00140659980-01,140659980,1,2,5642.4,3.0,9.44023,5.547189999999999e-05,74.6496,13.7068,0.327094,15.5066,0.0474218,2.0905099999999996,44672.0,44071.7,4.068230000000001,1328.27,0.000158074,2.03412,1.0,261.593,4.45833,6,3506.18,520.391,262.369,1653.08,1764.78
11,00140859822-01,140859822,1,1,3186.0,5.02428,24.6791,0.00315482,3.34665,0.640652,0.13100599999999998,68.2629,0.0988429,0.23399999999999999,16105.9,1660.92,2.11898,1334.84,0.0023182,0.7087640000000001,0.8310569999999999,8.68961,11.3167,2,31.4321,14.8829,15.2967,216.308,0.5173840000000001
12,00140940493-01,140940493,1,2,5516.25,4.5031099999999995,0.248928,9.60069e-06,1.72753,1.6800099999999998,0.0173035,2.22492,0.00767421,0.9145110000000001,336.684,29.2475,0.811024,1325.39,0.000663257,0.0188268,0.476001,15.7998,0.12395999999999999,226,169.05900000000003,10.5782,3.15381,2657.14,11780.8
14,00141028198-01,141028198,1,3,8192.0,4.0945599999999995,28.8196,0.00337118,9.1306,6.53413,0.0397611,70.7637,0.232145,2.10348,1767.22,170.278,3.19086,1342.26,0.00216819,0.125582,0.171396,7.7473399999999994,5.0125,2,1.15752,11.1936,9.03094,1088.11,331.288
17,00141096071-01,141096071,1,2,4176.0,4.58996,1.57111,5.0611099999999994e-05,2.9946,3.80435,0.0404013,22.2164,0.0229707,0.678956,1895.46,169.18200000000002,0.512827,1325.55,0.00097213,0.0241665,0.426907,8.62919,0.8531299999999999,36,43.3595,11.4907,4.01591,1001.81,238.049
19,00141124144-01,141124144,1,1,4549.0,4.438,31.6733,0.00804119,2.89467,1.94957,0.026515300000000002,50.1478,0.19601300000000002,1.0,851.5239999999999,108.205,4.76664,1349.43,0.00569285,0.133267,0.279211,3.33788,12.7681,2,0.09569,7.2648399999999995,5.21022,453.384,9.98583
20,00141152931-01,141152931,1,1,7776.0,4.30126,0.835729,9.008209999999999e-05,7.11688,19.4063,0.0410393,2.10867,0.021294999999999998,1.5885,656.57,116.34899999999999,1.01816,1326.13,0.00288295,0.5090779999999999,0.9983850000000001,10.2776,-0.16204000000000002,68,39.2094,7.5136899999999995,3.5866,2963.49,18227.8
21,00141212720-01,141212720,1,2,3133.0,4.438,1.4682600000000001,0.00046713300000000006,2.13612,3.0816,0.019566999999999998,2.34768,0.0252944,1.0,456.589,145.513,5.03822,1326.46,0.00932684,0.103352,0.019819099999999996,5.84945,0.74039,38,15.5985,7.52762,3.18629,869.242,134.922
23,00141268467-01,141268467,1,2,6435.0,3.98035,2.0903099999999997,-1.0,69.3108,-1.0,0.32854,7.09404,0.0349532,1.9324599999999998,484320.0,0.0,3.0,1326.46,-1.0,0.751522,0.1,3.9026699999999996,0.32778,0,638177.0,14381.1,3291.06,2111.31,4696.02
25,00141334293-01,141334293,1,2,3137.0,4.438,29.5653,-1.0,9.22564,-1.0,0.0845073,32.5269,0.18721600000000002,1.0,8494.61,-1.0,7.5,1350.8,-1.0,0.590064,0.1,9.1087,5.74444,2,16.5981,21.6444,20.4124,319.915,2.47548
27,00141335886-01,141335886,1,6,3331.0,4.438,18.8299,0.00368216,1.5274299999999998,0.28120100000000003,0.013991299999999998,17.7545,0.138587,1.0,201.553,37.8122,5.76445,1328.48,0.00656295,0.16445099999999999,0.723258,8.52478,5.1222199999999996,3,5.36105,15.6031,14.82,394.82599999999996,5.74308
33,00141413932-01,141413932,1,1,5424.0,4.42483,14.322000000000001,0.0066947000000000005,2.31292,1.21248,0.0214595,11.4386,0.11334200000000001,0.987275,537.014,85.7645,9.34229,1337.46,0.0125237,0.216295,0.304007,1.95619,-2.05417,4,0.25911,8.30333,6.4589300000000005,706.3739999999999,58.8381
34,00141435705-01,141435705,1,2,7369.0,4.02082,0.234306,1.2122999999999999e-05,3.30842,1.56019,0.0144717,4.32026,0.0,2.0941099999999997,228.84900000000002,28.1648,0.393719,1325.5,0.00058903,0.0066758,0.384209,8.32974,0.07081,240,184.84900000000002,8.80879,3.5905400000000003,0.0,0.0
36,00141484981-01,141484981,1,2,8130.0,4.36343,0.337461,1.3376500000000001e-05,2.1631,0.34975100000000003,0.0129132,2.77359,0.011923600000000001,1.53441,186.197,16.3957,0.96378,1325.53,0.000750425,0.012868200000000002,4.7781e-05,12.9413,0.16801,166,96.971,12.2619,2.82071,4069.57,64821.2
38,00141526439-01,141526439,1,1,3609.0,4.7301400000000005,52.9183,0.0165697,2.06733,0.611583,0.036941,27.9398,0.22121,0.512624,1609.14,189.43599999999998,15.0062,1327.17,0.0121431,0.534884,0.0113748,1.8421,-1.65972,2,0.09339,9.92329,8.55219,242.424,0.8162510000000001
39,00141527579-01,141527579,1,1,3570.0,4.83196,15.0887,0.00237463,1.8596400000000002,1.80085,0.040081,57.8886,0.0914471,0.425,1892.02,284.994,2.0708900000000003,1328.94,0.00447033,0.0798334,0.0165767,2.77907,-3.00833,4,2.35458,7.324389999999999,4.68724,339.601,3.1434
40,00141606958-01,141606958,1,2,5204.23,4.77007,0.68779,4.03848e-05,1.7024299999999999,0.871337,0.018525200000000002,1.9777799999999999,0.017550299999999998,0.841791,390.785,44.0252,2.5702700000000003,1325.73,0.00156295,0.0647172,0.47214700000000004,10.0132,0.33915,82,71.0485,7.48128,6.421469999999999,1590.41,1512.0
42,00141607553-01,141607553,1,1,5993.82,4.3939,23.0009,0.00383591,4.55039,1.37988,0.0389419,61.0852,0.160191,1.07036,1740.42,215.733,2.92279,1348.12,0.00331109,0.114772,0.217016,4.64559,1.29583,2,0.06767999999999999,9.78358,7.24593,683.6619999999999,51.6282
43,00141608198-01,141608198,1,1,3275.0,4.438,9.01014,0.0009853989999999999,7.0510600000000005,1.13802,0.06458799999999999,30.4958,0.0847832,1.0,4415.46,388.959,1.8702599999999998,1329.82,0.00336206,0.1968,0.668773,3.22214,-1.25555,6,3.07266,12.3134,6.43091,496.305,14.3389
44,00141622065-01,141622065,1,1,6640.1,4.2352099999999995,1.46396,8.29094e-06,60.7015,10.9336,0.38971999999999996,2.1186,0.0273825,1.42674,161542.0,375.99699999999996,7.59691,1326.31,0.000172738,2.89889,0.513868,2.63665,0.5625,38,870.181,190.877,41.243,2114.96,4728.56
45,00141624979-01,141624979,1,1,4922.25,4.68056,30.3585,0.0123625,3.00358,1.11976,0.031029,36.0067,0.211856,0.886684,1016.62,163.274,5.01497,1349.41,0.00965995,0.27156199999999997,0.676109,2.55973,22.1305,2,6.10193,7.4705,6.804460000000001,444.344,9.21294
46,00141708335-01,141708335,1,1,3384.0,4.92123,4.76074,0.000573611,1.9600400000000002,0.346694,0.0547379,6.91224,0.0381883,0.32799999999999996,2579.54,181.13299999999998,2.88247,1328.66,0.00364936,0.712321,0.904493,3.01805,-1.02639,12,32.3031,14.4346,6.85645,437.61699999999996,8.66756
47,00141712167-01,141712167,1,1,5875.0,4.32736,0.433041,2.42148e-05,1.43353,2.19913,0.0112029,5.16026,0.0114448,1.17212,143.607,21.4618,0.623873,1325.72,0.00124647,0.00767377,0.29975300000000005,2.14311,0.17364000000000002,130,124.035,8.33531,3.40624,2623.5,11195.6
48,00141757920-01,141757920,1,2,7369.05,4.037719999999999,0.327665,1.79771e-05,3.61049,1.67383,0.0208047,2.37095,0.00932287,1.58965,465.74,58.3499,0.970269,1325.55,0.0008288260000000001,0.0285284,0.5279560000000001,12.2401,0.16512000000000002,171,84.2323,7.249639999999999,2.81009,4245.99,76813.6
50,00141769434-01,141769434,1,1,5463.0,4.407,23.5653,0.0045146,5.21226,5.3364,0.0471211,46.1663,0.15854100000000002,1.0132299999999999,2628.93,312.395,4.06611,1347.57,0.00364748,0.184662,0.0968195,4.16323,16.7042,2,2.4694,8.65076,6.89612,609.405,32.5945
51,00141770047-01,141770047,1,1,7675.0,4.39824,0.269432,2.0714000000000002e-05,3.1310700000000002,1.08949,0.0204179,2.41024,0.009937,1.40469,381.74199999999996,68.9649,0.446179,1325.37,0.000883933,0.04417,0.9,4.82285,0.05625,209,157.446,7.871410000000001,2.97951,4026.55,62123.0
52,00141770299-01,141770299,1,2,6227.0,4.26512,26.4166,0.0065191,11.175999999999998,11.1823,0.07647029999999999,16.8097,0.184745,1.3387200000000001,6645.87,382.4,12.5235,1328.18,0.00865134,0.955091,0.26887300000000003,5.67307,-2.40417,3,24.1231,19.8601,17.4778,739.655,70.7354
54,00141772259-01,141772259,1,1,6971.0,4.57,4.4152,0.0008230739999999999,2.9927599999999996,0.77891,0.0158359,3.26017,0.0840763,1.73112,283.103,24.3739,10.6656,1328.02,0.00558834,0.172532,0.0676456,3.24783,2.2111099999999997,13,7.714689999999999,8.7763,3.18991,1395.77,896.966
55,00141809359-01,141809359,1,2,4695.0,4.53314,12.1575,0.000115817,30.579,6.15497,0.36075300000000005,19.7933,0.0940816,0.776443,71745.4,360.184,4.72759,1328.1,0.00028939,2.3637900000000003,0.9163020000000001,63.4949,7.8777800000000004,5,91.2028,257.697,118.93700000000001,595.155,29.6511
57,00141865875-01,141865875,1,3,7365.0,4.438,0.223138,9.57485e-06,2.34967,0.556516,0.0115414,3.0550900000000003,0.0109136,1.86486,143.514,15.8031,0.5030899999999999,1325.4,0.000420381,0.00789706,0.50515,11.7617,0.13357,252,202.105,10.2829,3.0503400000000003,4248.18,76972.2
60,00141975926-01,141975926,1,2,3340.0,4.438,26.2129,0.00260352,7.170319999999999,1.62204,0.06568049999999999,103.113,0.172782,1.0,5139.79,660.0189999999999,2.06782,1331.2,0.0017718,0.12769,0.044782800000000005,8.43126,5.18055,2,2.82775,12.3977,10.0459,354.56,3.73489
62,00141977935-01,141977935,1,1,5532.0,4.37396,23.6472,0.00705961,7.8286,10.6448,0.0675028,16.4753,0.159895,1.06233,2004.8,276.786,4.4560699999999995,1347.48,0.00429507,2.22804,0.987439,6.37662,1.7208299999999999,2,0.5524,8.81954,6.875839999999999,629.197,37.0397
63,00142052876-01,142052876,1,2,2892.0,5.05595,26.9145,0.00308954,1.33362,0.17143599999999998,0.0629694,65.2712,0.09469580000000001,0.19399999999999998,4616.29,618.698,3.26608,1334.1,0.00217676,0.204103,0.234571,4.4416199999999995,1.1569399999999999,2,5.676069999999999,19.4086,18.5952,182.653,0.26304099999999997
65,00142108949-01,142108949,1,4,2871.0,4.438,14.4783,0.00169227,1.57218,0.258549,0.0144012,14.5538,0.11631500000000002,1.0,222.835,32.6456,5.9966800000000005,1332.8,0.00253372,0.142627,0.638916,7.392869999999999,1.95278,4,8.92345,10.7535,8.293339999999999,371.45599999999996,4.49938
